display_name,challonge_id,ch_part_id,gg_discriminator,gg_user_id,gg_entrant_id
.jretion,3192240,,38d1a3e0,389852,3108432
aTastyT0ast,1068767,,ac2b8291,1568445,8021265
Vadux,3598620,,dddafe85,1590169,8154237
Akuji,,98574705,d2772db2,736817,2963686
Alarmadillo,997500,,2226fda1,703816,3131906
AlluringLynx,3163951,,408a58ea,2523667,15855347
Andris,5995901,,5ed2ef53,2061112,12030572
anthonyiye,3114483,,adfe1445,1822420,12874189
applesauc,2054602,,dbffb42d,171179,15989559
Arcadia,3311431,,96cd5b85,745016,2914266
Arete5,5194567,,8071a0ff,1549110,13050209
Arklark,6496058,,3dc0be40,2522527,15843027
Arnozi,3053309,,1df963b3,661269,3591364
Aura,6281068,,dca5c4d2,821802,15880856
Amanda,5387093,,343b8c2c,1812776,13078388
auxzilla,2917721,,845da710,446766,2793885
Aztral,3141950,,bdf8ebda,628910,3470578
B3B3,2885416,,ceaaad5c,1548390,7878571
Baltikus,5516015,,4197c59e,2067235,13098644
[redacted],6687950,,f9869f22,2048052,13250856
bashkiro,5442978,,1cedf36e,1984867,11305369
Figgy,4020724,,,721589,2793254
blu2th1000,5260689,,79e35e6c,1135377,12288177
bluerble,6383003,,e0f97eb3,2537696,15982611
Bobzilla,2642545,,80f48faf,619867,2366486
SkyBungis,3427061,,071aa5e3,647788,2753272
C0BA,2885484,,,631513,2427262
Cactos,3960640,,a8c2a3ab,1118016,5170442
Cermu,5693092,,8bdbd342,2175807,12946032
Chamolo,5394721,,1865ba24,1967431,11141708
Cherry,3443217,,dd952a36,702103,2696347
chrollooh,4954856,,0b1bb2b3,1632551,11574216
Claus,1725423,,,459551,2702793
[redacted],1182100,,,,11585590
ColeW,1188878,,d6b8b694,161733,3129542
ConsumeCalcium,3253266,,87de9761,779415,3132054
Crafekster,931220,,c81301ee,446812,2712236
Cubical,6315006,,3130a6f5,2531535,15925499
D3ATH_BY_SENPAI,2095039,,1c08b798,171225,3097772
DaiCombinator,3352947,,2f90a6f1,747390,2928465
Daioutzu,1511697,,2c77dda0,438586,2351053
Daver6566,2714018,,96daabc0,931578,12088628
Desselie,3423262,,59acab8d,1500694,8122262
Dewwer,3665794,,fecf63cd,1978188,11243583
Dino,3204576,,04aa8a20,618113,2357990
Discrap,3432803,,,721436,2792832
DK,3165961,,1abf80b8,756419,3102061
DodgeDrafter,5359434,,f9d723d2,1813675,12288849
Dukefirepanda,4368224,,23fa4c8c,869761,3659480
Dzuh,677349,,2fa140c9,2166,2950624
EmDotTwo,4359386,,900d76bd,1368639,6471566
Encrian,4873327,,9a42bb82,2086668,12281491
falco708,3493198,,5dcd7442,754208,2969700
FancyTurt1e,4126377,,cc760478,1123206,5175949
Front-Ward,3764300,,667b911e,1120628,5166453
Glomzubuk,2116397,,ec9d26e8,638229,2459440
Goldengoron,3461333,,c1b80a33,506113,13071724
Hang,2262132,,5a26b3d1,444922,2347001
Hellraiser,3527744,,a19708aa,749530,2940977
hyhy,1012929,,0c32aa91,1851569,12952774
IHouMI,3654029,,225e38f1,1967005,11139184
Im0rta1Champ10n5,4593252,,cb056271,1593928,8180888
imadethis_,3319388,,ecaa8ad4,721658,2793440
IncredibleMeh,1560363,,528c8ecb,161198,2791961
InFLicTedToast,912594,,a067b8ed,723025,5174601
J.J.K.,4283335,,1e149aa3,2222906,13331745
melleracapeller,2846889,,d3eb57f2,1817246,13131905
JawDrop,2436341,,af69be17,632746,2433729
JordanAdventure1,2293328,,eac4bfef,746724,2924201
josu2412,3181208,,c0e92af2,642740,2960256
[redacted],1979129,,5dbf9ae4,773611,3099897
Just Gas,4734634,,7b614e05,1451908,8116572
justanaboveaverageguy,3160259,,cfff903f,702743,5175526
coffeeground,3161229,,4e3f0967,622916,3113733
Kerbe,3511265,,9ae79b6f,2062456,12041998
KingChimaera,4051158,,3cecb62a,868077,3648841
kirbbbb,3168901,,c154c556,355939,5176197
Kirioso,3365311,,,638270,2459559
Kiiwiiii,4099065,,5cbb51f0,2158805,12947420
KyreSD,4138787,,fcf9aeee,1260760,15949348
lalou816,3924254,,35c8edf9,448880,2982426
Gander,4154197,,8a6a8f47,638238,2459465
Leibniz,3284997,,,616865,2351065
[redacted],2131401,,be709355,618479,2360120
Macky,4848359,,bdba9303,1586323,8122241
Masoff,5363935,,63260b25,1686296,11139072
mauri985,3561653,,f19c07ea,622294,2378321
Metrekec,3157588,,d37a873e,1379853,6522965
mia,3216488,,,638200,2459309
miming,4349489,,4b5de7c1,2048391,14101244
Mochameinko,3801985,,dba28c39,1120403,5165410
MonkHB,845200,,ce6a92cb,342267,3130770
Mottry,3329509,,0e4eb627,1985176,11308561
Neerasure,3163954,,571978ed,616858,2351051
Nenjay,6660283,,e3ef4669,2538011,15985294
NetherCraft,4875199,,70c198dd,1967523,11142587
Nobody,3144513,,,721647,2793411
NooshStuff,3451263,,8ff734a3,1117992,5156323
Nujia,4881453,,1702b7ff,2087675,12294048
Nupperz,816935,,6d08c3e1,1290438,12894877
ObsidianSkin,3785431,,4c2637fd,717464,5156314
Ojitosgames,4590771,,63c7472a,1591291,8162464
paralin,1068788,,19f2a288,753006,3022179
PimentoPyro,3397026,,f61cf2ce,721268,3021773
Preheat,2745041,,07641760,707700,2753273
Prom,931656,,7ace2053,704101,5123382
qdwe,4278575,,e630cee6,1367834,6467089
qwwert,964229,,32155fa7,14262,2691919
Thanimator,4058524,,ce1a5e6a,1924036,10778889
Manticore,3398726,,a43ee3bc,776546,5161739
Rypper1234,3341760,,ea56a68b,1110596,5124533
Scooter,1222913,,b3c3c2f1,438602,3116229
sdfjk,982094,,,705308,2711870
ShyShannon,4051210,,19ae2f46,1119022,5159936
Skeet,1316952,,89ade173,387668,12867157
Slambat,2145214,,22aa7f70,414961,6467053
Slaren,3376261,,31334e54,635985,2449493
solare,3159683,,,447650,2351440
Southpyne,3935736,,ce0be1b9,1110040,5121410
Spex,5448628,,6b6099f5,1982075,11277104
Sweet Lou,,117454365,2233f81b,396999,3469687
Tanez,3830173,,0d2167ff,747878,2930669
TerrariaEagle177,5941628,,0c833fb5,2178667,12964882
THEGIANTRAT,3383598,,,709553,2743741
theafrogamer18,3323211,,,637094,2454475
Tixl,931749,,92225dcb,15697,3591270
Toni,1132821,,baf2e0be,2515028,15774233
Tuxiio,3053404,,,619691,2365716
ulti,804142,,0acdc6f0,639664,2470695
Venturisten,4231335,,32057ab9,1110716,5125064
very epic!,5789827,,27206903,2087320,12288806
VintageSheep,5999809,,b4ba3fe8,2087336,12289078
voffer,5083901,,ba8f7a1f,1985377,11310642
Wi Fu,4775461,,23398aa6,1178811,8183085
Wolfgang,3253284,,43edce57,721758,3621734
zaxer2,3141371,,00219e52,462514,2792653
Xanpanman,936492,,8543ad76,452829,2753654
xXSpeedydragon14Xx,2341997,,28d65b3d,1602265,11314605
YinYin,915947,,1dc9d0ae,773310,10878389
Mercy,943520,,fda4df15,9046,5124633
Aru,3203203,,e7c5136d,616863,2351062
Zombieeraser12,2862573,,bb3a1aea,586331,5165531
Chronor,3266987,,8827ea0d,731161,3113251
Dima_Liquid,2629244,,9b18d7de,618152,2358232
TheCrowe,3311345,,3d3b334d,761419,3018586
Akashi,2517655,,2c9546ee,29300,3733564
[redacted],6600294,,5b8b0578,1191228,1898411
crustmas,3203150,,,707560,3131936
Croak,5215625,,4b412ca2,2578997,16355522
BlueJay7,6172652,,774e1813,2534316,15950769
cdi29,6836092,,09c6ee55,2593661,16538679
jkuzi,4776706,,524ca126,889191,12257866
Laralex,6178981,,35798758,2202857,13170919
Qlex,1012035,,3928a33b,1782,13410737
SteakFox,1835070,,b7f76e31,101603,16589668
VirtualFishbowl,1793875,,f62fcd72,561297,13059260
Cackin,2436121,,,457076,1626475
Kota,2424759,,233b838c,446761,1626885
Neffros,1798828,,,,1666979
TheMightyDozen,2869916,,,,1666978
mekuru,928976,,,448297,1541637
88mpharu,1350609,,2eae1515,445463,1518643
[redacted],1250909,,,447235,1532008
Serchiot,479579,,a902ce53,447512,1534191
Glioburd,391381,,,230925,1533908
OakPrime,2404508,,,447169,1531287
MrGentle,1053335,,,448848,1542298
K9999,1140368,,b5a7f87e,751917,9862560
BenTheDragon,914867,,e950e249,28184,1529625
hero_jake,3385812,,,446788,1529507
PawRoyalHighness,2116394,,11ff8137,446760,1529290
Y pestis,6997588,,,446813,1529753
Fluke,1213518,,5229f4ad,446795,1529634
boognish,2826240,,,447412,1533853
Zoombie,1139727,,,448973,1543424
SilverRexy,3143449,,5e807ec3,447921,1536244
Captain Spurt Dimmadome,3148332,,,448996,1543558
RadiantHero6,2917542,,77d6ad67,448660,1540827
Snoozincopter,3140847,,,448273,1538647
Vincent,3141603,,,448606,1540477
zedOFF,2832922,,,448834,1542239
BmoSweggs,1188588,,,446935,1530383
[redacted],890473,,,447450,1533983
Band1coot,2453047,,7a2d1b51,446772,1529364
SuprCollider,5178525,,13756b85,1615764,9775484
SpaceHeart,3346321,,6e7cd579,1815127,9794095
Capapas,1889211,,3e5ed628,75730,9776052
tedd_e,5552411,,ef40b6a3,1210750,18173077
Galaxy,7140485,,ec4a8c9a,2776690,17753569
RoyalJG,4047717,,33fd337e,702604,4788027
twz,4908276,,eb2d125c,1798221,9620943
Osky,4591692,,1f173fdc,1452914,9610736
avg_duck,6856916,,e775ced4,2272978,20161328
Stray Demon,5472671,,fd1264c5,1535911,20066933
psyan,6949525,,0f25aef4,2914536,4545702
Crispity,6459683,,495ed7c2,2899111,18961854
biscuittt,6225013,,e8e64ca4,2558582,20365573
souss,6268223,,8ec71841,2972672,19681994
pengoui,7223255,,39fe09ac,3098638,20672186
Magic Mouse,4061332,,403338ec,1194308,20672045
KiiVoZin,7533565,,1c60d348,3098594,20671852
sick21ck,4509000,,1012510a,3098582,20671772
unclefat,6923866,,e07620c0,3098581,20671759
Reaps,6986952,,4205fe2d,3056901,20671587
purple puzzler,881997,,cbabeddc,3098563,20671572
Frostelus,1900287,,d86b7b76,17754,20671554
Potato528,5693710,,00c852f0,3098550,20671520
ClownKingWalrus,6601669,,453c14b0,3097866,20667167
The Dangus,5404382,,1ffba092,3052429,20664282
suppermud,6924152,,7bdfac57,3097588,20664246
TheBadJoe,994083,,8f4fe137,524003,20636938
SuiBaan,6360583,,8301f3c6,3091081,20606816
remy517,7178699,,fafd7892,3084042,20541511
ConnieKins,2586555,276301545,132c9268,459990,9510143
aem,,276301542,b409a46f,30118,3485695